State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Andaman & Nicobar Islands,Nicobars,Campbell Bay,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2156,2156
Andaman & Nicobar Islands,Nicobars,Car Nicobar,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4250,4250
Andaman & Nicobar Islands,Nicobars,Nancowrie,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2421,2421
Andaman & Nicobar Islands,North And Middle Andaman,Diglipur,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9600,9600
Andaman & Nicobar Islands,North And Middle Andaman,Mayabunder,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5780,5780
Andaman & Nicobar Islands,North And Middle Andaman,Rangat,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9020,9020
Andaman & Nicobar Islands,South Andamans,Ferrargunj,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12213,12213
Andaman & Nicobar Islands,South Andamans,Little Andaman,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4897,4897
Andaman & Nicobar Islands,South Andamans,Prothrapur,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11700,11700
